disposition,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,st_teff,st_rad,st_mass,sy_dist
CANDIDATE,6.6223,,,,5000.0,5.54598,,3649.9
CANDIDATE,0.5217136,,452.0,,,11.27,,1383.32
CANDIDATE,11.975818,,8.43,,3320.0,0.28,,1565.84
CANDIDATE,11.97495,,256.0,,5200.0,3.4,,1565.84
CANDIDATE,5.9895,,2.04,,,1.03,,144.192
CANDIDATE,28.707623,,21.2,,5838.0,1.03,,603.858
CANDIDATE,15.4715,,9.2,,5791.0,1.89,,427.205
CANDIDATE,15.465691,,4.13,,4989.0,0.76,,427.205
CANDIDATE,15.466674,,16.12109089,,5807.0,1.231429,,427.205
CANDIDATE,1.4556637,,,,6520.0,1.84406,1.341,462.95
CANDIDATE,1.45556515,,71.0,,,2.043,,462.95
CANDIDATE,3.3262396,,1.16,,3404.0,0.33,,4791.68
CANDIDATE,3.32592848,,,,4017.0,60.6949,,4791.68
CANDIDATE,3.3255,,1080.0,,,85.0,,4791.68
CANDIDATE,13.1426,,200.0,,,13.9,,3363.81
CANDIDATE,4.474513,,8.16881084,,6081.0,2.221057,,696.124
CANDIDATE,4.4743465,,3.06,,5248.0,0.81,,696.124
CANDIDATE,4.47471,,22.0,,,2.486,,696.124
CANDIDATE,2.1989041,,46.6,,4938.0,0.75,,
CANDIDATE,4.1657292,,1.86,,3442.0,0.36,,9319.51
FALSE POSITIVE,0.6308,,,,,,,
CANDIDATE,0.2358684,,6.1,,,1.792,,349.365
CANDIDATE,12.99109,,43.0,,,4.5,,
CANDIDATE,1.7359447,,1.89,,5354.0,0.84,,880.659
CANDIDATE,1.8389349,,0.837,,3930.0,0.58,,35.4342
CANDIDATE,1.83916,,0.62,,,0.48,,35.4342
CANDIDATE,2.032664,,1.92,,,0.535,,111.941
CANDIDATE,6.11706,,1.76,,,0.535,,111.941
CANDIDATE,1.859017,,64.0,,6842.0,2.03,,601.432
CANDIDATE,1.85872487,,,,6015.0,2.01889,1.11,601.432
CANDIDATE,1.8590179,,30.5,,6244.0,1.33,,601.432
CANDIDATE,540.0,,5.7,,5200.0,0.94,,511.443
CANDIDATE,,,12.81,,,1.947,,511.443
FALSE POSITIVE,1.4408,,,,4154.0,1.58859,,157.614
FALSE POSITIVE,0.841202,,82.0,,6237.0,2.31,,523.657
CANDIDATE,0.8411257,,0.884,,4289.0,0.66,,676.494
CANDIDATE,0.17566,,3.11,,6620.0,1.15,,555.171
CANDIDATE,29.33873041,,,,3171.0,0.528528,0.525532,148.374
FALSE POSITIVE,22.7984,,9.0,,6195.0,1.37,,
CANDIDATE,1.68027,,2.9,,,1.275,,247.386
CANDIDATE,2.54427583,,,,8188.0,3.23826,2.003,354.001
CANDIDATE,0.7099504,,80.0,,,2.065,,685.821
FALSE POSITIVE,1.8204,,,,3112.0,0.5139,0.511624,161.737
FALSE POSITIVE,2.809,,,,2901.0,0.474383,0.472176,166.168
FALSE POSITIVE,1.404411,,99.0,,6933.0,2.02,,166.168
FALSE POSITIVE,1.4044283,,3.66,,2721.0,0.12,,166.168
CANDIDATE,3.400858,,14.1,,,0.983,,279.968
CANDIDATE,3.4007758,,5.57,,5520.0,0.89,,279.968
CANDIDATE,,,7.51,,,1.249,,170.562
CANDIDATE,,,,,3095.0,,,867.306
FALSE POSITIVE,8.2781,,,,6520.0,,,
FALSE POSITIVE,8.2758,,10.2,,5926.0,1.6,,
FALSE POSITIVE,8.2766395,,0.724,,2586.0,0.11,,
FALSE POSITIVE,0.6199,,,,2978.0,0.596423,0.585161,147.465
CANDIDATE,28.46762,,37.0,,,1.97,,450.603
CANDIDATE,28.465633,,18.4,,5700.0,0.96,,450.603
FALSE POSITIVE,4.5417,,,,2897.0,0.641751,0.620907,
CANDIDATE,83830.0,,12.0,,4000.0,0.74,,446.905
CANDIDATE,8.79689,,4.85,,,2.047,,377.553
CANDIDATE,1.153886,,99.0,,6841.0,1.8,,588.018
CANDIDATE,1.6398934,,33.0,,5175.0,0.79,,441.991
FALSE POSITIVE,1.486243,,58.0,,5991.0,1.87,,809.464
CANDIDATE,23.210585,,5.7,,5244.0,0.81,,239.55
CANDIDATE,23.21037,,15.3,,,1.207,,239.55
CANDIDATE,1.330023,,44.0,,,2.4,,336.974
CANDIDATE,50.73641,,10.31,,,1.349,,334.817
FALSE POSITIVE,1.124,,,,3074.0,0.50547,0.503436,138.15
FALSE POSITIVE,0.7474,,,,,,,133.312
CANDIDATE,46.1373,,2.6,,,0.723,,290.683
CANDIDATE,1.957,,,,3913.0,45.3731,,1236.49
CANDIDATE,22.6398,,1.27,,,0.862,,94.2591
CANDIDATE,24.193613,,30.7,,5457.0,0.87,,665.223
CANDIDATE,2.784496,,2.09,,,0.256,,102.889
CANDIDATE,0.64292573,,,,2914.0,0.362033,0.348098,134.261
FALSE POSITIVE,1.4562,,,,,,,
FALSE POSITIVE,2.8742,,,,3648.0,1.41662,,144.025
CANDIDATE,10.2236,,132.0,,6960.0,2.04,,143.715
FALSE POSITIVE,1.6281,,,,5691.0,2.74444,1.013,144.951
CANDIDATE,2.7518,,0.669,,,0.647,,60.5309
CANDIDATE,,,133.0,,,8.12,,509.051
CANDIDATE,23.277669,,32.8,,4379.0,0.68,,423.406
CANDIDATE,24.6842,,2.49,,,1.17,,273.868
CANDIDATE,2.2,,8.4,,4800.0,0.87,,305.337
CANDIDATE,2.6454165,,9.47,,5179.0,0.79,,528.025
CANDIDATE,2.64594828,,,,6634.0,1.98054,1.39,528.025
CANDIDATE,20.98296043,,,,4822.0,0.739921,0.781,366.941
CANDIDATE,1.5271792,,,,5359.0,0.899453,0.93,559.822
CANDIDATE,7.8392,,1.46,,,1.115,,187.222
FALSE POSITIVE,9.2048,,,,11886.0,3.61562,3.165,155.751
CANDIDATE,2.32046168,,,,,,,170.111
CANDIDATE,2.320937,,15.7,,,1.157,,170.111
CANDIDATE,1.94297,,2.571,,3197.0,0.436,0.486,143.701
FALSE POSITIVE,1.3178719,,62.0,,,1.975,,552.872
FALSE POSITIVE,1.3179,,55.0,,5876.0,1.07,,552.872
CANDIDATE,0.2338108,,,,,,,
FALSE POSITIVE,1.1488,,,,3429.0,0.984957,0.418,144.086
CANDIDATE,46.38363,,3.22,,,0.762,,116.189
CANDIDATE,46.40651,,3.35,,4812.0,0.73,,116.189
CANDIDATE,16.56127,,0.957,,,0.258,,81.38137
CANDIDATE,16.563155,,1.66,,3669.0,0.48,,81.38137
CANDIDATE,18.357773,,1.74,,4937.0,0.75,,337.993
CANDIDATE,18.3647,,2.61,,,1.22,,337.993
CANDIDATE,21.9184,,3.18,,,0.72,,293.873
CANDIDATE,49.8558,,3.29,,,1.359,,166.757
CANDIDATE,4.9818921,,2.66,,5849.0,1.04,,211.632
CANDIDATE,4.98049071,,,,5234.0,1.13733,0.893,211.632
CANDIDATE,4.981838,,2.39347065,,5774.0,0.978267,,211.632
CANDIDATE,4.98205,,2.3,,5594.0,1.01,,211.632
CANDIDATE,4.9815,,2.39,,,0.92,,211.632
CANDIDATE,3.3055191,,1.27,,3430.0,0.35,,91.0366
CANDIDATE,3.30524,,6.6,,,1.79,,91.0366
FALSE POSITIVE,1.8361,,,,,,,
CANDIDATE,14.5444413,,,,,,,
CANDIDATE,4.30221683,,,,7168.62,4.08069,1.6,684.616
FALSE POSITIVE,8.02678456,,,,4708.46,5.5996,,933.196
FALSE POSITIVE,8.0241306,,4.42,,3939.0,0.58,,933.196
FALSE POSITIVE,8.02415,,194.0,,4734.0,6.1,,933.196
FALSE POSITIVE,8.02335,,86.0,,,5.13,,933.196
CANDIDATE,11.31028,,18.9,,,1.44,,843.771
CANDIDATE,11.31009,,130.0,,4793.0,10.0,,843.771
CANDIDATE,16.63311,,44.0,,5700.0,2.19,,233.887
CANDIDATE,16.63237,,10.7,,3648.0,0.47,,233.887
CANDIDATE,16.63091654,,,,5121.0,1.27372,0.862,233.887
CANDIDATE,1.057171,,1.51,,,1.004,,265.263
FALSE POSITIVE,4.377326,,27.0,,5928.0,1.43,,476.35
FALSE POSITIVE,4.37983009,,,,5982.0,1.60152,1.1,476.35
FALSE POSITIVE,4.377339,,31.9,,,1.691,,476.35
FALSE POSITIVE,4.3772986,,16.6,,5102.0,0.78,,476.35
CANDIDATE,0.980414,,1.58,,4202.0,0.66,,157.823
CANDIDATE,0.98036126,,1.44,,3932.0,0.58,,157.823
CANDIDATE,0.97988263,,,,4063.0,0.701061,0.664242,157.823
CANDIDATE,0.980294,,1.81,,,0.685,,157.823
CANDIDATE,14.2005,,2.36,,,0.786,,219.312
CANDIDATE,28.8077,,2.08,,,0.215,,97.068
CANDIDATE,3.75927,,68.0,,,10.7,,272.331
CANDIDATE,2.41628,,2.68,,,1.01,,271.855
CANDIDATE,2.4165066,,0.988,,3483.0,0.38,,271.855
CANDIDATE,4.4984354,,3.12,,4309.0,0.66,,533.784
CANDIDATE,0.3938505,,13.7,,,2.16,,1418.18
CANDIDATE,2.3240489,,33.4,,5107.0,0.78,,223.184
CANDIDATE,1.86732,,0.648,,,0.693,,103.821
